"Gene_Order"	"Gene_EntrezID"	"N_HitLists"	"DE_Prior_Rank"	"Gene_Name"
"1"	7503	79	1	"XIST"
"2"	8653	64	0.999947840600876	"DDX3Y"
"3"	9086	62	0.999869601502191	"EIF1AY"
"4"	8284	52	0.999869601502191	"KDM5D"
"5"	8287	46	0.999791362403505	"USP9Y"
"6"	246126	50	0.99971312330482	"TXLNGY"
"7"	1960	79	0.99971312330482	"EGR3"
"8"	1958	82	0.999634884206134	"EGR1"
"9"	1545	91	0.99958272480701	"CYP1B1"
"10"	3500	75	0.999504485708325	"IGHG1"
"11"	3429	69	0.999504485708325	"IFI27"
"12"	3576	124	0.999426246609639	"CXCL8"
"13"	2354	69	0.999374087210515	"FOSB"
"14"	378938	63	0.999321927811392	"MALAT1"
"15"	9383	21	0.999243688712706	"TSIX"
"16"	3043	80	0.999243688712706	"HBB"
"17"	7544	29	0.99916544961402	"ZFY"
"18"	5996	96	0.999113290214897	"RGS1"
"19"	10964	60	0.999061130815773	"IFI44L"
"20"	7057	96	0.998982891717087	"THBS1"
"21"	4057	65	0.998982891717087	"LTF"
"22"	2920	105	0.998904652618402	"CXCL2"
"23"	83869	15	0.998852493219278	"TTTY14"
"24"	1277	105	0.998800333820154	"COL1A1"
"25"	2353	86	0.998748174421031	"FOS"
"26"	3117	50	0.998696015021907	"HLA-DQA1"
"27"	7153	89	0.998643855622783	"TOP2A"
"28"	260436	30	0.99859169622366	"FDCSP"
"29"	6373	57	0.998513457124974	"CXCL11"
"30"	5743	87	0.998513457124974	"PTGS2"
"31"	3638	35	0.998409138326727	"INSIG1"
"32"	608	41	0.998409138326727	"TNFRSF17"
"33"	23764	69	0.998330899228041	"MAFF"
"34"	6374	66	0.998278739828917	"CXCL5"
"35"	5450	53	0.998200500730232	"POU2AF1"
"36"	4929	75	0.998200500730232	"NR4A2"
"37"	3223	46	0.998122261631546	"HOXC6"
"38"	6241	93	0.998070102232422	"RRM2"
"39"	4312	101	0.998017942833299	"MMP1"
"40"	1959	55	0.997965783434175	"EGR2"
"41"	3248	81	0.997913624035051	"HPGD"
"42"	91543	72	0.997835384936366	"RSAD2"
"43"	6279	96	0.997835384936366	"S100A8"
"44"	57016	64	0.99775714583768	"AKR1B10"
"45"	96610	39	0.997652827039432	"BMS1P20"
"46"	6364	82	0.997652827039432	"CCL20"
"47"	3045	33	0.997652827039432	"HBD"
"48"	100133941	111	0.997548508241185	"CD24"
"49"	6347	87	0.997496348842061	"CCL2"
"50"	9518	81	0.997444189442938	"GDF15"
"51"	10631	84	0.997365950344252	"POSTN"
"52"	2919	79	0.997365950344252	"CXCL1"
"53"	1281	81	0.997287711245566	"COL3A1"
"54"	7130	81	0.997209472146881	"TNFAIP6"
"55"	5166	90	0.997209472146881	"PDK4"
"56"	115908	107	0.997131233048195	"CTHRC1"
"57"	4321	66	0.997079073649072	"MMP12"
"58"	4680	58	0.997026914249948	"CEACAM6"
"59"	3627	71	0.996948675151262	"CXCL10"
"60"	3512	64	0.996948675151262	"JCHAIN"
"61"	22829	11	0.996870436052577	"NLGN4Y"
"62"	50486	71	0.996740037554767	"G0S2"
"63"	4283	51	0.996740037554767	"CXCL9"
"64"	1278	87	0.996740037554767	"COL1A2"
"65"	467	68	0.996740037554767	"ATF3"
"66"	645784	27	0.996609639056958	"ANKRD36BP2"
"67"	3725	56	0.996557479657834	"JUN"
"68"	23657	78	0.996479240559149	"SLC7A11"
"69"	9021	74	0.996479240559149	"SOCS3"
"70"	5806	89	0.996401001460463	"PTX3"
"71"	948	90	0.996348842061339	"CD36"
"72"	1116	87	0.996296682662216	"CHI3L1"
"73"	1462	95	0.996244523263092	"VCAN"
"74"	7852	87	0.996166284164406	"CXCR4"
"75"	7404	12	0.996166284164406	"UTY"
"76"	6696	100	0.996088045065721	"SPP1"
"77"	150094	52	0.996035885666597	"SIK1"
"78"	4256	93	0.995983726267473	"MGP"
"79"	4311	87	0.99593156686835	"MME"
"80"	969	62	0.995879407469226	"CD69"
"81"	6352	77	0.995827248070102	"CCL5"
"82"	8644	89	0.995775088670979	"AKR1C3"
"83"	1839	53	0.995722929271855	"HBEGF"
"84"	1843	66	0.995670769872731	"DUSP1"
"85"	7128	66	0.995618610473607	"TNFAIP3"
"86"	1301	69	0.995566451074484	"COL11A1"
"87"	118430	29	0.99551429167536	"MUCL1"
"88"	4493	49	0.995462132276236	"MT1E"
"89"	9314	80	0.995409972877112	"KLF4"
"90"	10561	64	0.995357813477989	"IFI44"
"91"	1646	45	0.995305654078865	"AKR1C2"
"92"	10202	59	0.995253494679741	"DHRS2"
"93"	2069	79	0.995201335280618	"EREG"
"94"	10563	58	0.995149175881494	"CXCL13"
"95"	441168	62	0.99509701648237	"FAM26F"
"96"	4969	65	0.994992697684123	"OGN"
"97"	3575	86	0.994992697684123	"IL7R"
"98"	212	23	0.994992697684123	"ALAS2"
"99"	2877	44	0.994888378885875	"GPX2"
"100"	6423	63	0.99481013978719	"SFRP2"
"101"	374	68	0.99481013978719	"AREG"
"102"	5055	77	0.994731900688504	"SERPINB2"
"103"	7474	74	0.99467974128938	"WNT5A"
"104"	7980	81	0.994627581890257	"TFPI2"
"105"	1846	80	0.994575422491133	"DUSP4"
"106"	54443	76	0.994471103692885	"ANLN"
"107"	760	94	0.994471103692885	"CA2"
"108"	330	62	0.994471103692885	"BIRC3"
"109"	55872	74	0.994366784894638	"PBK"
"110"	8870	54	0.994314625495514	"IER3"
"111"	597	74	0.994262466096391	"BCL2A1"
"112"	10351	72	0.994210306697267	"ABCA8"
"113"	6372	62	0.994158147298143	"CXCL6"
"114"	283120	60	0.994105987899019	"H19"
"115"	6280	66	0.994053828499896	"S100A9"
"116"	259282	21	0.99397558940121	"BOD1L1"
"117"	2921	63	0.99397558940121	"CXCL3"
"118"	27074	68	0.993871270602963	"LAMP3"
"119"	4070	79	0.993871270602963	"TACSTD2"
"120"	1848	67	0.993793031504277	"DUSP6"
"121"	118932	62	0.993740872105153	"ANKRD22"
"122"	259266	77	0.99368871270603	"ASPM"
"123"	3934	70	0.993636553306906	"LCN2"
"124"	3569	68	0.993584393907782	"IL6"
"125"	51237	26	0.993506154809097	"MZB1"
"126"	4603	79	0.993506154809097	"MYBL1"
"127"	100423062	58	0.993401836010849	"IGLL5"
"128"	2706	82	0.993401836010849	"GJB2"
"129"	1844	47	0.993323596912164	"DUSP2"
"130"	3434	74	0.99327143751304	"IFIT1"
"131"	6947	53	0.993219278113916	"TCN1"
"132"	3397	63	0.993167118714792	"ID1"
"133"	10875	56	0.993114959315669	"FGL2"
